GV6825,9K,[1],43.00,18.06T
GX6328,11,[1],89.97,25.19T
EG8T03,7,[1],149.97,41.99T
GW4958,9-,[1],59.95,16.79T
GT4958,10,[1],59.95,16.79T
HO4969,9-,[1],50.00,21.00T
HO1925,9-,[1],64.95,18.19T
HO4969,8-,[1],50.00,21.00T
GV6825,9K,[1],43.00,18.06T
HO4969,9-,[1],50.00,21.00T
GT0401,6-,[1],55.00,23.10T
EG8103,7-,[1],149.97,41.99T
FY3473,7-,[1],49.95,13.99T
GV6825,7K,[1],43.00,1B.06T
GX6421,5,[1],90.00,37.80T
GW4958,9-,[1],59.95,16.79T
GX9531,11,[1],140.00,58.78T
HO1925,8,[1],--64.95,18.19T
GX6421,5-,[1],9-,
GW0401,4-,[1],55.00,23.10T
GX398,7-,[1],149.97,41.99T
GX6328,11,[1],19.97,25.19T
GX9531,11-,[1],140.00,58.80T
GX9531,10-,[1],140.00,58.80T
FVB349,10,[1],129.99,54.59T
GX39B2,8-,[1],149.97,41.99T
FVB349,11,[1],129.99,54.59T
HO2062,7,[1],65.00,27.30T
GX3982,9,[1],149.97,41.99T
FV8349,8-,[1],129.99,54.59T
GZ1623,8-,[1],140.00,58.80T
HO1925,11,[1],64.95,18.19T
GX6421,5-,[1],90.00,37.80T
EG8I03,8,[1],149.97,41.99T
GLO719,L,[1],55.00,13.99T
H4341J,M,[1],49.97,13.99T
HA3413,H,[1],49.97,13.99T
GLO653,XS,[1],55.00,23.10T
GL9874,L,[1],35.00,14.70T
GL0719,XS,[1],55.00,13.99T
HA3413,LL,[1],49.97,13.99T
HK9148,M,[1],65.00,13.99T
H57784,5,[1],12.95,3.63T
HA3413,M,[1],49.97,13.99T
HA3413,H,[1],49.97,13.99T
H57784,5,[1],12.95,3.63T
GBO799,OSFA,[1],19.95,5.59T
GBO7S9,OSFA,[1],19.95,5.59T
H5778,5,[1],12..95,3.63T
GL987,L,[1],35.00,14.70T
GTO056,XL,[1],55.00,13.99T
HF2119,2XL,[1],29.97,8.39T
HF2I19,2XL,[1],29.97,8.39T
GL9874,K,[1],-35.00,14.70T
HF2119,2XL,[1],29.97,8.39T
GV2126,L,[1],55.00,13.99T
GV2126,2XL,[1],55.00,13.99T
HK9146,M,[1],65.00,13.99T
598887,OG,[1],60.00,21.00T
